relevance_variant,unit,model,n_test,ba_a,ba_hybrid,delta_hybrid_minus_a,b,c,n_discordant,p_mid
any_relevance,1week,LightGBM,1440,0.696219027255284,0.6876394276365995,-0.008579599618684486,69,51,120,0.10136765353309209
any_relevance,1week,Logistic_Regression,1440,0.675595317913297,0.6770252511830778,0.0014299332697808032,2,5,7,0.28906249999999994
any_relevance,1week,Random_Forest,1440,0.6298411103986503,0.6354096825865092,0.005568572187858889,28,38,66,0.22154872964481132
any_relevance,1week,XGBoost,1440,0.6673192591165865,0.6551825023954125,-0.01213675672117398,104,92,196,0.3926260446804673
any_relevance,2month,LightGBM,150,0.69896004378763,0.7249589490968802,0.025998905309250198,3,6,9,0.34374999999999994
any_relevance,2month,Logistic_Regression,150,0.5290093048713739,0.5722495894909688,0.04324028461959495,5,11,16,0.14346313476562494
any_relevance,2month,Random_Forest,150,0.7162014230979749,0.7118226600985222,-0.004378762999452612,4,4,8,0.7265625000000001
any_relevance,2month,XGBoost,150,0.7205801860974275,0.7090859332238643,-0.011494252873563204,5,3,8,0.5078125000000001
any_relevance,2week,LightGBM,720,0.7066666666666667,0.7173737373737373,0.010707070707070665,14,21,35,0.24298495403490966
any_relevance,2week,Logistic_Regression,720,0.6975757575757575,0.6987878787878787,0.00121212121212122,1,1,2,0.4999999999999998
any_relevance,2week,Random_Forest,720,0.6923232323232323,0.6907070707070707,-0.0016161616161616266,28,24,52,0.5831321542611763
any_relevance,2week,XGBoost,720,0.6953535353535354,0.6850505050505051,-0.010303030303030258,55,40,95,0.12534569718849234
any_relevance,month,LightGBM,330,0.652780487804878,0.6599024390243902,0.0071219512195122014,13,14,27,0.8505540192127226
any_relevance,month,Logistic_Regression,330,0.6051707317073171,0.6051707317073171,0.0,1,1,2,0.4999999999999998
any_relevance,month,Random_Forest,330,0.6753170731707316,0.6615609756097561,-0.013756097560975511,11,6,17,0.23788452148437497
any_relevance,month,XGBoost,330,0.6205853658536585,0.6221463414634146,0.001560975609756099,14,14,28,0.8505540192127231
any_relevance,quarter,LightGBM,90,0.7047566976489885,0.7124111536358666,0.007654455986878084,3,3,6,0.6875
any_relevance,quarter,Logistic_Regression,90,0.6394204483324221,0.6317659923455441,-0.007654455986877973,1,1,2,0.4999999999999998
any_relevance,quarter,Random_Forest,90,0.753143794423182,0.7124111536358666,-0.04073264078731542,8,5,13,0.4239501953124999
any_relevance,quarter,XGBoost,90,0.6853471842536906,0.693821760524877,0.008474576271186418,2,3,5,0.6875000000000002
direct,1week,LightGBM,1440,0.696219027255284,0.6852098820213623,-0.011009145233921602,61,48,109,0.21497653774329706
direct,1week,Logistic_Regression,1440,0.675595317913297,0.6783040235615945,0.0027087056482975047,1,5,6,0.12499999999999997
direct,1week,Random_Forest,1440,0.6298411103986503,0.6389205161900628,0.009079405791412531,30,44,74,0.10534226887460484
direct,1week,XGBoost,1440,0.6673192591165865,0.6867800048273962,0.01946074571080969,72,96,168,0.0645507603417761
direct,2month,LightGBM,150,0.69896004378763,0.7126436781609196,0.013683634373289566,2,4,6,0.45312499999999994
direct,2month,Logistic_Regression,150,0.5290093048713739,0.5347564313081554,0.005747126436781547,1,2,3,0.6249999999999999
direct,2month,Random_Forest,150,0.7162014230979749,0.6981390257252327,-0.01806239737274218,5,3,8,0.5078125000000001
direct,2month,XGBoost,150,0.7205801860974275,0.6874657909140668,-0.03311439518336068,8,3,11,0.14599609375
direct,2week,LightGBM,720,0.7066666666666667,0.7214141414141414,0.014747474747474731,16,27,43,0.09614175442061432
direct,2week,Logistic_Regression,720,0.6975757575757575,0.6987878787878787,0.00121212121212122,1,1,2,0.4999999999999998
direct,2week,Random_Forest,720,0.6923232323232323,0.6890909090909091,-0.003232323232323253,24,22,46,0.7708669945730267
