variant,ticker,event_type,relevance_to_ticker,n_articles
all_ok,ACB,capital,direct,6
all_ok,ACB,capital,indirect,1
all_ok,ACB,capital,irrelevant,1
all_ok,ACB,debt_risk,direct,1
all_ok,ACB,dividend,direct,2
all_ok,ACB,governance,direct,1
all_ok,ACB,legal_risk,direct,1
all_ok,ACB,operation,direct,1
all_ok,ACB,other,direct,79
all_ok,ACB,other,indirect,7
all_ok,BCM,capital,direct,17
all_ok,BCM,dividend,direct,2
all_ok,BCM,earnings,direct,1
all_ok,BCM,legal_risk,direct,1
all_ok,BCM,other,direct,74
all_ok,BCM,other,indirect,4
all_ok,BCM,other,irrelevant,1
all_ok,BID,capital,direct,7
all_ok,BID,earnings,direct,1
all_ok,BID,operation,direct,1
all_ok,BID,other,direct,81
all_ok,BID,other,indirect,1
all_ok,BID,other,irrelevant,9
all_ok,BVH,capital,direct,2
all_ok,BVH,dividend,direct,3
all_ok,BVH,earnings,direct,3
all_ok,BVH,governance,direct,1
all_ok,BVH,other,direct,85
all_ok,BVH,other,irrelevant,6
all_ok,CTG,capital,direct,7
all_ok,CTG,capital,indirect,1
all_ok,CTG,macro,direct,1
all_ok,CTG,other,direct,78
all_ok,CTG,other,indirect,3
all_ok,CTG,other,irrelevant,10
all_ok,FPT,capital,direct,7
all_ok,FPT,capital,indirect,1
all_ok,FPT,dividend,direct,1
all_ok,FPT,earnings,direct,1
all_ok,FPT,legal_risk,indirect,1
all_ok,FPT,macro,irrelevant,1
all_ok,FPT,market,direct,1
all_ok,FPT,operation,direct,3
all_ok,FPT,other,direct,71
all_ok,FPT,other,indirect,7
all_ok,FPT,other,irrelevant,6
all_ok,GAS,capital,direct,3
all_ok,GAS,dividend,direct,1
all_ok,GAS,earnings,direct,2
all_ok,GAS,macro,direct,1
all_ok,GAS,operation,direct,2
all_ok,GAS,other,direct,63
all_ok,GAS,other,indirect,16
all_ok,GAS,other,irrelevant,12
all_ok,GVR,capital,direct,1
all_ok,GVR,dividend,direct,3
all_ok,GVR,earnings,direct,3
all_ok,GVR,governance,direct,1
all_ok,GVR,legal_risk,direct,1
all_ok,GVR,macro,direct,1
all_ok,GVR,operation,direct,2
all_ok,GVR,other,direct,83
all_ok,GVR,other,indirect,2
all_ok,GVR,other,irrelevant,3
all_ok,HDB,capital,direct,6
all_ok,HDB,dividend,direct,1
all_ok,HDB,earnings,direct,2
all_ok,HDB,governance,direct,2
all_ok,HDB,other,direct,86
all_ok,HDB,other,indirect,1
all_ok,HDB,other,irrelevant,2
all_ok,HPG,capital,direct,2
all_ok,HPG,dividend,direct,1
all_ok,HPG,earnings,direct,3
all_ok,HPG,legal_risk,direct,2
all_ok,HPG,macro,direct,1
all_ok,HPG,operation,direct,1
all_ok,HPG,operation,indirect,1
all_ok,HPG,other,direct,82
all_ok,HPG,other,indirect,3
all_ok,HPG,other,irrelevant,4
all_ok,MBB,capital,direct,13
all_ok,MBB,dividend,direct,2
all_ok,MBB,other,direct,85
all_ok,MSN,capital,direct,6
all_ok,MSN,debt_risk,direct,2
all_ok,MSN,earnings,direct,3
all_ok,MSN,legal_risk,direct,1
all_ok,MSN,macro,direct,1
all_ok,MSN,market,direct,1
all_ok,MSN,other,direct,78
all_ok,MSN,other,indirect,7
all_ok,MSN,other,irrelevant,1
all_ok,MWG,capital,direct,2
all_ok,MWG,dividend,direct,1
all_ok,MWG,earnings,direct,1
all_ok,MWG,governance,direct,1
all_ok,MWG,market,direct,1
all_ok,MWG,operation,direct,7
all_ok,MWG,other,direct,85
all_ok,MWG,other,indirect,2
all_ok,PLX,capital,direct,2
all_ok,PLX,dividend,direct,1
all_ok,PLX,earnings,direct,3
all_ok,PLX,governance,direct,1
all_ok,PLX,legal_risk,direct,3
all_ok,PLX,operation,direct,2
all_ok,PLX,other,direct,72
all_ok,PLX,other,indirect,2
all_ok,PLX,other,irrelevant,14
all_ok,POW,capital,direct,8
all_ok,POW,earnings,direct,4
all_ok,POW,macro,direct,1
all_ok,POW,market,direct,3
all_ok,POW,operation,direct,2
all_ok,POW,other,direct,73
all_ok,POW,other,indirect,7
all_ok,POW,other,irrelevant,2
all_ok,SAB,capital,direct,5
all_ok,SAB,dividend,direct,7
all_ok,SAB,earnings,direct,2
all_ok,SAB,operation,direct,2
all_ok,SAB,other,direct,74
all_ok,SAB,other,indirect,9
all_ok,SAB,other,irrelevant,1
all_ok,SHB,capital,direct,4
all_ok,SHB,dividend,direct,3
all_ok,SHB,governance,direct,2
all_ok,SHB,market,direct,2
all_ok,SHB,operation,direct,1
all_ok,SHB,other,direct,87
all_ok,SHB,other,indirect,1
all_ok,SSB,capital,direct,9
all_ok,SSB,earnings,direct,1
all_ok,SSB,governance,direct,1
all_ok,SSB,legal_risk,direct,1
all_ok,SSB,operation,direct,2
all_ok,SSB,other,direct,85
all_ok,SSB,other,irrelevant,1
all_ok,SSI,capital,direct,6
all_ok,SSI,earnings,direct,1
all_ok,SSI,legal_risk,direct,2
all_ok,SSI,legal_risk,indirect,1
all_ok,SSI,macro,direct,1
all_ok,SSI,market,direct,2
all_ok,SSI,operation,direct,2
all_ok,SSI,other,direct,73
all_ok,SSI,other,indirect,5
all_ok,SSI,other,irrelevant,7
all_ok,STB,capital,direct,2
all_ok,STB,debt_risk,indirect,1
all_ok,STB,dividend,direct,1
all_ok,STB,earnings,direct,1
all_ok,STB,governance,direct,2
all_ok,STB,market,direct,1
all_ok,STB,operation,direct,1
all_ok,STB,other,direct,86
all_ok,STB,other,indirect,3
all_ok,STB,other,irrelevant,2
all_ok,TCB,capital,direct,5
all_ok,TCB,dividend,direct,1
all_ok,TCB,governance,direct,2
all_ok,TCB,legal_risk,direct,1
all_ok,TCB,macro,direct,1
all_ok,TCB,macro,indirect,1
all_ok,TCB,other,direct,85
all_ok,TCB,other,indirect,1
all_ok,TCB,other,irrelevant,3
all_ok,TPB,capital,direct,6
all_ok,TPB,dividend,direct,1
all_ok,TPB,governance,direct,2
all_ok,TPB,legal_risk,direct,1
all_ok,TPB,market,irrelevant,1
all_ok,TPB,operation,direct,3
all_ok,TPB,other,direct,81
all_ok,TPB,other,irrelevant,5
all_ok,VCB,capital,direct,4
all_ok,VCB,capital,indirect,2
all_ok,VCB,dividend,direct,1
all_ok,VCB,earnings,direct,3
all_ok,VCB,legal_risk,direct,2
all_ok,VCB,macro,direct,1
all_ok,VCB,other,direct,69
all_ok,VCB,other,indirect,9
all_ok,VCB,other,irrelevant,9
all_ok,VHM,capital,direct,7
all_ok,VHM,earnings,direct,1
all_ok,VHM,macro,direct,1
all_ok,VHM,market,direct,1
all_ok,VHM,operation,direct,2
all_ok,VHM,other,direct,82
all_ok,VHM,other,indirect,3
all_ok,VHM,other,irrelevant,3
all_ok,VIB,capital,direct,9
all_ok,VIB,capital,irrelevant,1
all_ok,VIB,debt_risk,direct,3
all_ok,VIB,dividend,direct,1
all_ok,VIB,governance,direct,3
all_ok,VIB,legal_risk,direct,2
all_ok,VIB,other,direct,75
all_ok,VIB,other,indirect,2
all_ok,VIB,other,irrelevant,4
all_ok,VIC,capital,direct,9
all_ok,VIC,capital,indirect,1
all_ok,VIC,earnings,irrelevant,1
all_ok,VIC,governance,direct,1
all_ok,VIC,legal_risk,direct,1
all_ok,VIC,macro,direct,4
all_ok,VIC,macro,indirect,1
all_ok,VIC,market,direct,1
all_ok,VIC,operation,direct,4
all_ok,VIC,operation,indirect,1
all_ok,VIC,other,direct,58
all_ok,VIC,other,indirect,10
all_ok,VIC,other,irrelevant,8
all_ok,VJC,capital,direct,7
all_ok,VJC,debt_risk,direct,1
all_ok,VJC,earnings,direct,5
all_ok,VJC,macro,direct,1
all_ok,VJC,operation,direct,4
all_ok,VJC,other,direct,76
all_ok,VJC,other,indirect,5
all_ok,VJC,other,irrelevant,1
all_ok,VNM,capital,direct,1
all_ok,VNM,dividend,direct,3
all_ok,VNM,earnings,direct,2
all_ok,VNM,other,direct,88
all_ok,VNM,other,indirect,2
all_ok,VNM,other,irrelevant,4
all_ok,VPB,capital,direct,5
all_ok,VPB,debt_risk,direct,1
all_ok,VPB,earnings,direct,2
all_ok,VPB,governance,direct,1
all_ok,VPB,legal_risk,direct,1
all_ok,VPB,macro,indirect,1
all_ok,VPB,market,indirect,1
all_ok,VPB,operation,direct,4
all_ok,VPB,operation,indirect,1
all_ok,VPB,other,direct,75
all_ok,VPB,other,indirect,3
all_ok,VPB,other,irrelevant,5
all_ok,VRE,capital,direct,1
all_ok,VRE,dividend,direct,1
all_ok,VRE,operation,direct,1
all_ok,VRE,other,direct,64
material_events_only,ACB,capital,direct,6
material_events_only,ACB,capital,indirect,1
material_events_only,ACB,debt_risk,direct,1
material_events_only,ACB,dividend,direct,2
material_events_only,ACB,legal_risk,direct,1
material_events_only,BCM,capital,direct,17
material_events_only,BCM,dividend,direct,2
material_events_only,BCM,earnings,direct,1
material_events_only,BCM,legal_risk,direct,1
material_events_only,BID,capital,direct,7
material_events_only,BID,earnings,direct,1
material_events_only,BVH,capital,direct,2
material_events_only,BVH,dividend,direct,3
material_events_only,BVH,earnings,direct,3
material_events_only,CTG,capital,direct,7
material_events_only,CTG,capital,indirect,1
material_events_only,FPT,capital,direct,7
material_events_only,FPT,capital,indirect,1
material_events_only,FPT,dividend,direct,1
material_events_only,FPT,earnings,direct,1
material_events_only,FPT,legal_risk,indirect,1
material_events_only,GAS,capital,direct,3
material_events_only,GAS,dividend,direct,1
material_events_only,GAS,earnings,direct,2
material_events_only,GVR,capital,direct,1
material_events_only,GVR,dividend,direct,3
material_events_only,GVR,earnings,direct,3
material_events_only,GVR,legal_risk,direct,1
material_events_only,HDB,capital,direct,6
material_events_only,HDB,dividend,direct,1
material_events_only,HDB,earnings,direct,2
material_events_only,HPG,capital,direct,2
material_events_only,HPG,dividend,direct,1
material_events_only,HPG,earnings,direct,3
material_events_only,HPG,legal_risk,direct,2
material_events_only,MBB,capital,direct,13
material_events_only,MBB,dividend,direct,2
material_events_only,MSN,capital,direct,6
material_events_only,MSN,debt_risk,direct,2
material_events_only,MSN,earnings,direct,3
material_events_only,MSN,legal_risk,direct,1
material_events_only,MWG,capital,direct,2
material_events_only,MWG,dividend,direct,1
material_events_only,MWG,earnings,direct,1
material_events_only,PLX,capital,direct,2
material_events_only,PLX,dividend,direct,1
material_events_only,PLX,earnings,direct,3
material_events_only,PLX,legal_risk,direct,3
material_events_only,POW,capital,direct,8
material_events_only,POW,earnings,direct,4
material_events_only,SAB,capital,direct,5
material_events_only,SAB,dividend,direct,7
material_events_only,SAB,earnings,direct,2
material_events_only,SHB,capital,direct,4
material_events_only,SHB,dividend,direct,3
material_events_only,SSB,capital,direct,9
material_events_only,SSB,earnings,direct,1
material_events_only,SSB,legal_risk,direct,1
material_events_only,SSI,capital,direct,6
material_events_only,SSI,earnings,direct,1
material_events_only,SSI,legal_risk,direct,2
material_events_only,SSI,legal_risk,indirect,1
material_events_only,STB,capital,direct,2
material_events_only,STB,debt_risk,indirect,1
material_events_only,STB,dividend,direct,1
material_events_only,STB,earnings,direct,1
material_events_only,TCB,capital,direct,5
material_events_only,TCB,dividend,direct,1
material_events_only,TCB,legal_risk,direct,1
material_events_only,TPB,capital,direct,6
material_events_only,TPB,dividend,direct,1
material_events_only,TPB,legal_risk,direct,1
material_events_only,VCB,capital,direct,4
material_events_only,VCB,capital,indirect,2
material_events_only,VCB,dividend,direct,1
material_events_only,VCB,earnings,direct,3
material_events_only,VCB,legal_risk,direct,2
material_events_only,VHM,capital,direct,7
material_events_only,VHM,earnings,direct,1
material_events_only,VIB,capital,direct,9
material_events_only,VIB,debt_risk,direct,3
material_events_only,VIB,dividend,direct,1
material_events_only,VIB,legal_risk,direct,2
material_events_only,VIC,capital,direct,9
material_events_only,VIC,capital,indirect,1
material_events_only,VIC,legal_risk,direct,1
material_events_only,VJC,capital,direct,7
material_events_only,VJC,debt_risk,direct,1
material_events_only,VJC,earnings,direct,5
material_events_only,VNM,capital,direct,1
material_events_only,VNM,dividend,direct,3
material_events_only,VNM,earnings,direct,2
material_events_only,VPB,capital,direct,5
material_events_only,VPB,debt_risk,direct,1
material_events_only,VPB,earnings,direct,2
material_events_only,VPB,legal_risk,direct,1
material_events_only,VRE,capital,direct,1
material_events_only,VRE,dividend,direct,1
direct_material_only,ACB,capital,direct,6
direct_material_only,ACB,debt_risk,direct,1
direct_material_only,ACB,dividend,direct,2
direct_material_only,ACB,legal_risk,direct,1
direct_material_only,BCM,capital,direct,17
direct_material_only,BCM,dividend,direct,2
direct_material_only,BCM,earnings,direct,1
direct_material_only,BCM,legal_risk,direct,1
direct_material_only,BID,capital,direct,7
direct_material_only,BID,earnings,direct,1
direct_material_only,BVH,capital,direct,2
direct_material_only,BVH,dividend,direct,3
direct_material_only,BVH,earnings,direct,3
direct_material_only,CTG,capital,direct,7
direct_material_only,FPT,capital,direct,7
direct_material_only,FPT,dividend,direct,1
direct_material_only,FPT,earnings,direct,1
direct_material_only,GAS,capital,direct,3
direct_material_only,GAS,dividend,direct,1
direct_material_only,GAS,earnings,direct,2
direct_material_only,GVR,capital,direct,1
direct_material_only,GVR,dividend,direct,3
direct_material_only,GVR,earnings,direct,3
direct_material_only,GVR,legal_risk,direct,1
direct_material_only,HDB,capital,direct,6
direct_material_only,HDB,dividend,direct,1
direct_material_only,HDB,earnings,direct,2
direct_material_only,HPG,capital,direct,2
direct_material_only,HPG,dividend,direct,1
direct_material_only,HPG,earnings,direct,3
direct_material_only,HPG,legal_risk,direct,2
direct_material_only,MBB,capital,direct,13
direct_material_only,MBB,dividend,direct,2
direct_material_only,MSN,capital,direct,6
direct_material_only,MSN,debt_risk,direct,2
direct_material_only,MSN,earnings,direct,3
direct_material_only,MSN,legal_risk,direct,1
direct_material_only,MWG,capital,direct,2
direct_material_only,MWG,dividend,direct,1
direct_material_only,MWG,earnings,direct,1
direct_material_only,PLX,capital,direct,2
direct_material_only,PLX,dividend,direct,1
direct_material_only,PLX,earnings,direct,3
direct_material_only,PLX,legal_risk,direct,3
direct_material_only,POW,capital,direct,8
direct_material_only,POW,earnings,direct,4
direct_material_only,SAB,capital,direct,5
direct_material_only,SAB,dividend,direct,7
direct_material_only,SAB,earnings,direct,2
direct_material_only,SHB,capital,direct,4
direct_material_only,SHB,dividend,direct,3
direct_material_only,SSB,capital,direct,9
direct_material_only,SSB,earnings,direct,1
direct_material_only,SSB,legal_risk,direct,1
direct_material_only,SSI,capital,direct,6
direct_material_only,SSI,earnings,direct,1
direct_material_only,SSI,legal_risk,direct,2
direct_material_only,STB,capital,direct,2
direct_material_only,STB,dividend,direct,1
direct_material_only,STB,earnings,direct,1
direct_material_only,TCB,capital,direct,5
direct_material_only,TCB,dividend,direct,1
direct_material_only,TCB,legal_risk,direct,1
direct_material_only,TPB,capital,direct,6
direct_material_only,TPB,dividend,direct,1
direct_material_only,TPB,legal_risk,direct,1
direct_material_only,VCB,capital,direct,4
direct_material_only,VCB,dividend,direct,1
direct_material_only,VCB,earnings,direct,3
direct_material_only,VCB,legal_risk,direct,2
direct_material_only,VHM,capital,direct,7
direct_material_only,VHM,earnings,direct,1
direct_material_only,VIB,capital,direct,9
direct_material_only,VIB,debt_risk,direct,3
direct_material_only,VIB,dividend,direct,1
direct_material_only,VIB,legal_risk,direct,2
direct_material_only,VIC,capital,direct,9
direct_material_only,VIC,legal_risk,direct,1
direct_material_only,VJC,capital,direct,7
direct_material_only,VJC,debt_risk,direct,1
direct_material_only,VJC,earnings,direct,5
direct_material_only,VNM,capital,direct,1
direct_material_only,VNM,dividend,direct,3
direct_material_only,VNM,earnings,direct,2
direct_material_only,VPB,capital,direct,5
direct_material_only,VPB,debt_risk,direct,1
direct_material_only,VPB,earnings,direct,2
direct_material_only,VPB,legal_risk,direct,1
direct_material_only,VRE,capital,direct,1
direct_material_only,VRE,dividend,direct,1
