model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy
Majority_Class,Config_A,0.47333333333333333,0.0,0.0,0.3212669683257919,0.5,0.5
Naive_Momentum,Config_A,0.52,0.5538461538461539,0.45569620253164556,0.5192307692307692,0.5236227491531468,0.5236227491531467
Logistic_Regression,Config_A,0.72,0.7936507936507936,0.6329113924050633,0.7192012836512747,0.755214833303619,0.7249064004278838
Random_Forest,Config_A,0.76,0.8208955223880597,0.6962025316455697,0.7598292118840064,0.8224282403280442,0.7635942235692637
XGBoost,Config_A,0.72,0.7936507936507936,0.6329113924050633,0.7192012836512747,0.809235157782136,0.7249064004278838
LightGBM,Config_A,0.72,0.7761194029850746,0.6582278481012658,0.7198007471980075,0.7931895168479229,0.7234801212337314
Majority_Class,Config_B,0.47333333333333333,0.0,0.0,0.3212669683257919,0.5,0.5
Naive_Momentum,Config_B,0.52,0.5538461538461539,0.45569620253164556,0.5192307692307692,0.5236227491531468,0.5236227491531467
Logistic_Regression,Config_B,0.5,0.527027027027027,0.4936708860759494,0.49979991996798717,0.5032982706364771,0.500356569798538
Random_Forest,Config_B,0.5666666666666667,0.5760869565217391,0.6708860759493671,0.5580035359717122,0.5376181137457657,0.5607951506507399
XGBoost,Config_B,0.52,0.5466666666666666,0.5189873417721519,0.5196584237680129,0.5132822249955429,0.520057051167766
LightGBM,Config_B,0.5666666666666667,0.5795454545454546,0.6455696202531646,0.5610283193012471,0.5461757889106793,0.5622214298448921
Majority_Class,Config_C,0.47333333333333333,0.0,0.0,0.3212669683257919,0.5,0.5
Naive_Momentum,Config_C,0.52,0.5538461538461539,0.45569620253164556,0.5192307692307692,0.5236227491531468,0.5236227491531467
Logistic_Regression,Config_C,0.7,0.75,0.6455696202531646,0.6998799519807923,0.759671955785345,0.7030665002674273
Random_Forest,Config_C,0.7333333333333333,0.7349397590361446,0.7721518987341772,0.7316156736446592,0.8108397218755572,0.7311463719022999
XGBoost,Config_C,0.7266666666666667,0.75,0.7215189873417721,0.7263626251390434,0.8299162060973436,0.7269566767694776
LightGBM,Config_C,0.72,0.7605633802816901,0.6835443037974683,0.72,0.8142271349616688,0.7220538420395792
