model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy
Majority_Class,Config_A,0.475,0.475,1.0,0.3220338983050847,0.5,0.5
Naive_Momentum,Config_A,0.4825,0.46255506607929514,0.5526315789473685,0.48156357420590945,0.48583959899749374,0.48583959899749374
Logistic_Regression,Config_A,0.7275,0.7120418848167539,0.7157894736842105,0.7268837815320818,0.7785714285714286,0.7269423558897243
Random_Forest,Config_A,0.735,0.7142857142857143,0.7368421052631579,0.7346749768466372,0.8096365914786967,0.7350877192982456
XGBoost,Config_A,0.73,0.7157894736842105,0.7157894736842105,0.7293233082706767,0.8068170426065163,0.7293233082706767
LightGBM,Config_A,0.76,0.7422680412371134,0.7578947368421053,0.7596153846153846,0.8235087719298245,0.7598997493734336
Majority_Class,Config_B,0.475,0.475,1.0,0.3220338983050847,0.5,0.5
Naive_Momentum,Config_B,0.4825,0.46255506607929514,0.5526315789473685,0.48156357420590945,0.48583959899749374,0.48583959899749374
Logistic_Regression,Config_B,0.5275,0.5026455026455027,0.5,0.5261940724120857,0.5330576441102757,0.5261904761904762
Random_Forest,Config_B,0.505,0.47435897435897434,0.3894736842105263,0.49581115836113165,0.48581453634085214,0.49949874686716794
XGBoost,Config_B,0.5225,0.49673202614379086,0.4,0.5126027904128203,0.5174812030075189,0.5166666666666666
LightGBM,Config_B,0.53,0.5068493150684932,0.3894736842105263,0.5176518883415435,0.5060275689223057,0.5233082706766917
Majority_Class,Config_C,0.475,0.475,1.0,0.3220338983050847,0.5,0.5
Naive_Momentum,Config_C,0.4825,0.46255506607929514,0.5526315789473685,0.48156357420590945,0.48583959899749374,0.48583959899749374
Logistic_Regression,Config_C,0.7075,0.6994535519125683,0.6736842105263158,0.7061611969536199,0.7520551378446116,0.7058897243107769
Random_Forest,Config_C,0.7325,0.7024390243902439,0.7578947368421053,0.7324581965932178,0.8036842105263159,0.7337092731829574
XGBoost,Config_C,0.74,0.7107843137254902,0.7631578947368421,0.7399414868345378,0.8081203007518797,0.7411027568922306
LightGBM,Config_C,0.745,0.7156862745098039,0.7684210526315789,0.7449426120877197,0.818922305764411,0.7461152882205513
