model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy
Majority_Class,Config_A,0.475,0.475,1.0,0.3220338983050847,0.5,0.5
Naive_Momentum,Config_A,0.4825,0.46255506607929514,0.5526315789473685,0.48156357420590945,0.48583959899749374,0.48583959899749374
Logistic_Regression,Config_A,0.7275,0.7120418848167539,0.7157894736842105,0.7268837815320818,0.7785714285714286,0.7269423558897243
Random_Forest,Config_A,0.735,0.7142857142857143,0.7368421052631579,0.7346749768466372,0.8096365914786967,0.7350877192982456
XGBoost,Config_A,0.73,0.7157894736842105,0.7157894736842105,0.7293233082706767,0.8068170426065163,0.7293233082706767
LightGBM,Config_A,0.76,0.7422680412371134,0.7578947368421053,0.7596153846153846,0.8235087719298245,0.7598997493734336
Majority_Class,Config_B,0.475,0.475,1.0,0.3220338983050847,0.5,0.5
Naive_Momentum,Config_B,0.4825,0.46255506607929514,0.5526315789473685,0.48156357420590945,0.48583959899749374,0.48583959899749374
Logistic_Regression,Config_B,0.4675,0.47103274559193953,0.9842105263157894,0.3185689948892675,0.49736842105263157,0.4921052631578947
Random_Forest,Config_B,0.4625,0.46835443037974683,0.9736842105263158,0.3162393162393162,0.4868421052631579,0.4868421052631579
XGBoost,Config_B,0.4625,0.46835443037974683,0.9736842105263158,0.3162393162393162,0.4868421052631579,0.4868421052631579
LightGBM,Config_B,0.475,0.475,1.0,0.3220338983050847,0.5,0.5
Majority_Class,Config_C,0.475,0.475,1.0,0.3220338983050847,0.5,0.5
Naive_Momentum,Config_C,0.4825,0.46255506607929514,0.5526315789473685,0.48156357420590945,0.48583959899749374,0.48583959899749374
Logistic_Regression,Config_C,0.7075,0.6994535519125683,0.6736842105263158,0.7061611969536199,0.7520050125313285,0.7058897243107769
Random_Forest,Config_C,0.7375,0.7157360406091371,0.7421052631578947,0.7372224412035212,0.8004135338345865,0.737719298245614
XGBoost,Config_C,0.73,0.7157894736842105,0.7157894736842105,0.7293233082706767,0.8068170426065163,0.7293233082706767
LightGBM,Config_C,0.76,0.7422680412371134,0.7578947368421053,0.7596153846153846,0.8235087719298245,0.7598997493734336
