model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy
Majority_Class,Config_A,0.505586592178771,0.0,0.0,0.3358070500927644,0.5,0.5
Naive_Momentum,Config_A,0.5153631284916201,0.5109717868338558,0.4604519774011299,0.5136088581401587,0.5147563754408965,0.5147563754408965
Logistic_Regression,Config_A,0.6857541899441341,0.6658097686375322,0.731638418079096,0.6853066941184973,0.7513500015606955,0.6862611979898243
Random_Forest,Config_A,0.6885474860335196,0.6585956416464891,0.768361581920904,0.6869592494927018,0.7628094078721478,0.6894294097449825
XGBoost,Config_A,0.6885474860335196,0.6601466992665037,0.7627118644067796,0.6871996505024027,0.7511002902893529,0.6893669819271467
LightGBM,Config_A,0.696927374301676,0.6658595641646489,0.7768361581920904,0.6953818705825843,0.7659268970253145,0.6978103442894154
Majority_Class,Config_B,0.505586592178771,0.0,0.0,0.3358070500927644,0.5,0.5
Naive_Momentum,Config_B,0.5153631284916201,0.5109717868338558,0.4604519774011299,0.5136088581401587,0.5147563754408965,0.5147563754408965
Logistic_Regression,Config_B,0.49441340782122906,0.4942857142857143,0.9774011299435028,0.3494372659458048,0.5108000124855635,0.49975028872865745
Random_Forest,Config_B,0.48743016759776536,0.4906474820143885,0.963276836158192,0.3459592251230191,0.49722976558354404,0.49268814183600207
XGBoost,Config_B,0.48463687150837986,0.4892086330935252,0.96045197740113,0.3423949702190573,0.4916346724100259,0.4898944969878578
LightGBM,Config_B,0.48324022346368717,0.48833819241982507,0.9463276836158192,0.35017660910518056,0.48876689452820177,0.48835721197365545
Majority_Class,Config_C,0.505586592178771,0.0,0.0,0.3358070500927644,0.5,0.5
Naive_Momentum,Config_C,0.5153631284916201,0.5109717868338558,0.4604519774011299,0.5136088581401587,0.5147563754408965,0.5147563754408965
Logistic_Regression,Config_C,0.696927374301676,0.6760925449871465,0.7429378531073446,0.6964957894387286,0.7562661922152512,0.6974357773824016
Random_Forest,Config_C,0.6941340782122905,0.6642335766423357,0.7711864406779662,0.6926948290560602,0.7653455379717201,0.6949854855323532
XGBoost,Config_C,0.6885474860335196,0.6601466992665037,0.7627118644067796,0.6871996505024027,0.7511002902893529,0.6893669819271467
LightGBM,Config_C,0.696927374301676,0.6658595641646489,0.7768361581920904,0.6953818705825843,0.7659268970253145,0.6978103442894154
