unit,n_samples,n_periods,test_samples,model,Config_A,Config_C,delta_C_minus_A
2month,764,26,150,LightGBM,0.7273616794164739,0.7410603095534603,0.013698630136986356
2month,764,26,150,Logistic_Regression,0.6945383383739547,0.6069204767834905,-0.08761786159046425
2month,764,26,150,Random_Forest,0.7407045009784736,0.7071695427859812,-0.033534958192492414
2month,764,26,150,XGBoost,0.7338551859099804,0.7147304750044476,-0.019124710905532805
2week,2609,115,586,LightGBM,0.686023241933785,0.709791805638451,0.023768563704665957
2week,2609,115,586,Logistic_Regression,0.7147362754391509,0.7181652213601095,0.0034289459209586592
2week,2609,115,586,Random_Forest,0.7072990906856722,0.6947535957120622,-0.012545494973610016
2week,2609,115,586,XGBoost,0.6831033716017741,0.6661926997390256,-0.016910671862748528
month,1423,53,288,LightGBM,0.6689241486068112,0.6557662538699691,-0.013157894736842035
month,1423,53,288,Logistic_Regression,0.736842105263158,0.6836300309597523,-0.05321207430340569
month,1423,53,288,Random_Forest,0.6840170278637772,0.6811145510835913,-0.0029024767801858475
month,1423,53,288,XGBoost,0.6853715170278638,0.6565402476780186,-0.028831269349845257
quarter,507,17,90,LightGBM,0.7224999999999999,0.6475,-0.07499999999999996
quarter,507,17,90,Logistic_Regression,0.5375,0.555,0.01750000000000007
quarter,507,17,90,Random_Forest,0.6599999999999999,0.6499999999999999,-0.010000000000000009
quarter,507,17,90,XGBoost,0.685,0.675,-0.010000000000000009
