segment_type,segment_name,n_samples,keyword,direction,n_occurrences,n_excluded,chi_statistic,chi_p_raw,chi_p_adj,chi_test_used,mw_statistic,mw_p_raw,mw_p_adj,logit_coef,logit_ci_lower,logit_ci_upper,logit_p_raw,logit_p_adj,significant_chi,significant_mw,significant_logit,significant_any
sector,Banking,425,lợi nhuận tăng,positive,17,0,0.7770891965459672,0.3780328478929389,1.0,chi_square,23041.0,0.2664754299650953,0.5812036498075347,,,,,,False,False,False,False
sector,Banking,425,tăng trưởng mạnh,positive,12,0,0.0,1.0,1.0,chi_square,22526.0,0.9199469954548617,0.9490576406314507,,,,,,False,False,False,False
sector,Banking,425,vượt kế hoạch,positive,10,0,0.6261682242990654,0.5347993353933245,1.0,fisher_exact,22323.0,0.4711085861285622,0.7328355784222078,,,,,,False,False,False,False
sector,Banking,425,kỷ lục,positive,16,0,0.4345644483208492,0.5097577003531089,1.0,chi_square,22925.5,0.3857655351628868,0.6231597106477402,,,,,,False,False,False,False
sector,Banking,425,tăng trưởng,positive,130,0,0.1465526577733581,0.7018517733130524,1.0,chi_square,22877.0,0.7614258013461083,0.8494390359302239,,,,,,False,False,False,False
sector,Banking,425,lãi ròng,positive,2,0,0.0,0.23663706992230854,0.903523357885178,fisher_exact,22345.0,0.14714756225934666,0.5812036498075347,,,,,,False,False,False,False
sector,Banking,425,kết quả tích cực,positive,1,0,inf,1.0,1.0,fisher_exact,22666.5,0.33217778678993615,0.5812036498075347,,,,,,False,False,False,False
sector,Banking,425,lãi lớn,positive,3,0,0.47235023041474655,0.6145991451578623,1.0,fisher_exact,22447.5,0.5309338864926167,0.7399891335297363,,,,,,False,False,False,False
sector,Banking,425,lãi đậm,positive,2,0,0.0,0.23663706992230854,0.903523357885178,fisher_exact,22345.0,0.14714756225934666,0.5812036498075347,,,,,,False,False,False,False
sector,Banking,425,báo lãi,positive,35,0,0.0372971248270412,0.8468613595101084,1.0,chi_square,22788.5,0.7092291344076473,0.8274339901422553,,,,,,False,False,False,False
sector,Banking,425,lợi nhuận kỷ lục,positive,1,0,0.0,0.48705882352941177,1.0,fisher_exact,22454.0,0.30700876175742153,0.5812036498075347,,,,,,False,False,False,False
sector,Banking,425,lãi kỷ lục,positive,5,0,3.850467289719626,0.37288644472764343,1.0,fisher_exact,22869.0,0.19622443480227947,0.5812036498075347,,,,,,False,False,False,False
sector,Banking,425,bứt phá,positive,25,0,1.2186104601560075,0.2696335222269608,0.9437173277943628,chi_square,23242.5,0.18832858348652826,0.5812036498075347,,,,,,False,False,False,False
sector,Banking,425,tăng vọt,positive,3,0,1.9074074074074074,1.0,1.0,fisher_exact,22660.5,0.5971464592552752,0.7399891335297363,,,,,,False,False,False,False
sector,Banking,425,tăng mạnh,positive,22,0,0.008893578692496542,0.9248662647066368,1.0,chi_square,22706.5,0.7685400801273454,0.8494390359302239,,,,,,False,False,False,False
sector,Banking,425,khởi sắc,positive,3,0,1.9074074074074074,1.0,1.0,fisher_exact,22660.0,0.5990388223812151,0.7399891335297363,,,,,,False,False,False,False
sector,Banking,425,phục hồi,positive,4,0,2.874418604651163,0.6237318668365861,1.0,fisher_exact,22763.0,0.3459545534568659,0.5812036498075347,,,,,,False,False,False,False
sector,Banking,425,lập đỉnh,positive,3,0,1.9074074074074074,1.0,1.0,fisher_exact,22660.0,0.5990388223812151,0.7399891335297363,,,,,,False,False,False,False
sector,Banking,425,hoàn thành kế hoạch,positive,5,0,inf,0.061448009600662205,0.5161632806455626,fisher_exact,23080.5,0.028734479365893534,0.3017120333418821,,,,,,False,False,False,False
sector,Banking,425,chia cổ tức,positive,62,0,5.718013778419349,0.01679171545259344,0.3526260245044623,chi_square,24482.0,0.01354998393912653,0.28454966272165716,,,,,,False,False,False,False
sector,Banking,425,mua lại cổ phiếu,positive,4,0,0.9490740740740741,1.0,1.0,fisher_exact,22554.0,0.9679694290191438,0.9679694290191438,,,,,,False,False,False,False
sector,Banking,425,tăng vốn điều lệ,positive,119,0,4.180746511179635,0.04088568789142468,0.5161632806455626,chi_square,24815.0,0.02464106221739082,0.3017120333418821,,,,,,False,False,False,False
sector,Banking,425,cổ tức tiền mặt,positive,16,0,0.4345644483208492,0.5097577003531089,1.0,chi_square,22957.0,0.3457866952273908,0.5812036498075347,,,,,,False,False,False,False
sector,Banking,425,trả nợ,positive,14,0,1.5896645544716703,0.20737406616980192,0.903523357885178,chi_square,23150.0,0.1339628761685206,0.5812036498075347,,,,,,False,False,False,False
sector,Banking,425,hệ số an toàn vốn,positive,3,0,1.9074074074074074,1.0,1.0,fisher_exact,22661.0,0.5952581809383624,0.7399891335297363,,,,,,False,False,False,False
sector,Banking,425,ký kết hợp đồng,positive,28,0,0.11380504394978895,0.7358530478944425,1.0,chi_square,22266.0,0.5859104438453722,0.7399891335297363,,,,,,False,False,False,False
sector,Banking,425,mở rộng thị trường,positive,1,0,inf,1.0,1.0,fisher_exact,22666.5,0.33217778678993615,0.5812036498075347,,,,,,False,False,False,False
