feature,mean_abs_shap,permutation_importance,rank
rsi_end_q,1.6728792166068993,0.1860275689223058,1
macd_hist_mean_q,0.5087697648497304,0.01921052631578952,2
price_vs_sma20,0.4462452674814411,0.0030075187969925143,3
return_2q_ago,0.41338514047975833,0.004837092731829651,4
return_q,0.32203534487125873,0.012819548872180498,5
return_prev_q,0.305400609591641,0.014837092731829626,6
volume_change_q,0.2839255178706661,0.010764411027568966,7
return_mean_daily,0.28032280774334845,0.009223057644110322,8
price_range_q,0.26595267231711023,0.005338345864661698,9
sma20_end,0.25602172339746143,0.017205513784461203,10
bb_position_q,0.21641308850962407,0.011115288220551411,11
ema20_end,0.20485538044439053,0.0071428571428571955,12
rsi_mean_q,0.19927448245635523,0.013721804511278279,13
return_std_daily,0.17935150293448426,0.008383458646616571,14
volume_mean_q,0.1663535092249459,0.009223057644110322,15
volatility_q,0.14189709299997472,0.009285714285714319,16
